company,budget,gross
Warner Bros.,16593700000,21322318408
Universal Pictures,13832130001,19430051320
Paramount Pictures,11656600000,17115702495
Twentieth Century Fox Film Corporation,9859100000,14788570587
Walt Disney Pictures,7561200000,10455507123
Columbia Pictures,7251900000,8824216545
New Line Cinema,5329700000,8540112287
Columbia Pictures Corporation,6169807000,7720114061
Touchstone Pictures,3952200000,6688156475
DreamWorks,3880200000,5458121021
DreamWorks Animation,3137000000,4143974397
Metro-Goldwyn-Mayer (MGM),3002750000,3384812932
Pixar Animation Studios,1561000000,3242024778
Fox 2000 Pictures,2230500000,3113861473
TriStar Pictures,1612500000,2967117827
Marvel Studios,1425000000,2671642781
Lucasfilm,811000000,2653975002
Summit Entertainment,1713769000,2489806367
Dimension Films,1387200000,2111898192
Miramax,1457540000,1831170299
Revolution Studios,1506795000,1821243533
Castle Rock Entertainment,1641500000,1771291469
Screen Gems,978100000,1752620658
Hollywood Pictures,932280000,1717155703
Lionsgate,1119100000,1513741328
Walt Disney Animation Studios,1130000000,1356016527
Regency Enterprises,1237000000,1299654769
Fox Searchlight Pictures,446600000,1181027556
Color Force,430000000,1107531459
Alcon Entertainment,863000000,1051174725
Twentieth Century Fox Animation,637000000,1032959675
Focus Features,659500000,974935616
EuropaCorp,679000000,857885155
Imagine Entertainment,573000000,857085821
Carolco Pictures,546500000,799442084
Orion Pictures,405500000,791626826
The Weinstein Company,573300000,772906664
Eon Productions,542000000,748420320
Morgan Creek Productions,741200000,743455410
United Artists,418300000,714588076
Relativity Media,421900000,597558618
Millennium Films,684000000,464611368
Atlas Entertainment,340000000,452424953
FortyFour Studios,345000000,446335992
Caravan Pictures,410500000,440378707
Polygram Filmed Entertainment,306000000,420956960
Gary Sanchez Productions,222000000,418621757
Roth Films,350000000,396742759
Hughes Entertainment,67000000,390798720
Walt Disney Feature Animation,491000000,385822429
1492 Pictures,260000000,380782899
Blue Sky Studios,285000000,379914290
Amblin Entertainment,229000000,377844836
Icon Productions,56000000,371537682
Fairview Entertainment,175000000,364001123
Twisted Pictures,74300000,360845388
Spyglass Entertainment,250000000,357037686
Gold Circle Films,70500000,348658420
Davis Entertainment,334030000,348148596
Icon Entertainment International,342600000,344237169
Illumination Entertainment,74000000,336045770
Lakeshore Entertainment,313000000,332155507
"Tyler Perry Company, The",53000000,322971313
Chernin Entertainment,323000000,317695000
Lions Gate Films,207950000,309424520
StudioCanal,269000000,304252091
CBS Films,235000000,302032850
Temple Hill Entertainment,55000000,299334844
Jerry Bruckheimer Films,225000000,295877790
Interscope Communications,61000000,294703625
Warner Bros. Pictures,330000000,280279415
Working Title Films,225000000,278182809
Dentsu,75000000,271094172
Rogue Pictures,137000000,270228485
PolyGram Filmed Entertainment,118688000,267182224
Village Roadshow Pictures,250000000,262098941
Marvel Entertainment,170000000,259766572
Brownstone Productions (II),46000000,249297323
Heyday Films,200000000,246583554
Imagine Films Entertainment,149000000,240411836
Allison Shearmur Productions,115000000,239713732
Mandalay Entertainment,222000000,237362405
Paramount Vantage,151250000,234014178
3 Arts Entertainment,145500000,227981117
Constantin Film,292000000,227912213
Aardman Animations,224000000,227611133
Golden Harvest Company,60400000,224110408
Canal+,101000000,214155259
Beacon Communications,180000000,212404317
Robert Simonds Productions,43000000,211333525
Eddie Murphy Productions,89000000,208768906
Good Universe,83000000,207611808
Walt Disney Feature Animation Florida,218000000,205956531
Mace Neufeld Productions,107000000,205475080
Tig Productions,117000000,204873581
Blinding Edge Pictures,14000000,203347690
Marvel Enterprises,278000000,203285814
Mandeville Films,165000000,200663896
B24,245000000,200074175
Cross Creek Pictures,169500000,196859322
Disney Television Animation,93000000,196685219
Franchise Pictures,526550000,196334081
Geffen Pictures,102000000,189079273
Scott Rudin Productions,119000000,185641926
BenderSpink,117500000,185536771
Largo Entertainment,131000000,185346460
All Girl Productions,67000000,184572157
FilmDistrict,115750000,178345802
Rimfire Films,8800000,174635000
Levantine Films,25000000,169380936
De Laurentiis Entertainment Group (DEG),156100000,168579097
Amercent Films,68000000,168013066
Green Hat Films,115000000,166931937
LivePlanet,50000000,165683095
Jack Giarraputo Productions,34200000,163479795
Paramount Animation,74000000,162994032
Captivate Entertainment,120000000,162434410
Hemdale,19600000,161790667
Danjaq,167000000,161610699
Cinergi Pictures Entertainment,275000000,159827916
New Regency Pictures,157000000,159232140
American Zoetrope,138000000,158432462
Gaumont,332000000,155983762
Walden Media,164000000,154571084
Endgame Entertainment,172000000,154463768
Film 44,52000000,151958051
Permut Presentations,121000000,150427564
C-2 Pictures,200000000,150371112
Broadway Pictures,75000000,149603482
Exclusive Media Group,70200000,149294751
Don Simpson/Jerry Bruckheimer Films,79000000,148477757
Matten Productions,33000000,148095302
Dark Castle Entertainment,67000000,146128730
Alliance Films,23000000,146004566
See-Saw Films,38500000,144135094
China Film Co.,145000000,143528619
Turner Pictures (I),89500000,143052175
40 Acres & A Mule Filmworks,121675000,141803464
Haxan Films,60000,140539099
American Entertainment Partners II L.P.,34000000,140185017
Phoenix Pictures,223000000,139129632
Annapurna Pictures,76000000,138695808
Be Gentlemen Limited Partnership,10000000,138433435
Constellation Entertainment,153000000,138148217
Gramercy Pictures (I),84900000,138004156
Centropolis Film Productions,130000000,136314294
Peters Entertainment,191500000,136100022
888 Productions,13500000,135265915
Cube Vision,25000000,134938200
Aggregate Films,35000000,134746987
GK Films,303000000,132112346
Capella International,135000000,130883316
Strong Heart/Demme Production,19000000,130742922
Buena Vista Pictures,18000000,130724172
Hawn / Sylbert Movie Company,0,130535101
Open Road Films (II),119000000,130453791
Amblin Partners,90000000,130041959
BBC Films,84900000,129942358
LStar Capital,47000000,129642393
Four by Two,18000000,128505958
Asia Union Film & Entertainment Ltd.,17000000,128078872
Lucamar Productions,50000000,128002372
Baltimore Pictures,145000000,127304396
Rastar Pictures,50000000,126276265
Path�,85000000,125598249
"Halcyon Company, The",200000000,125322469
Flashlight Films,60000000,125070033
Red Granite Pictures,110000000,124315228
"Bedford Falls Company, The",48000000,124115725
Fox Atomic,137000000,124002073
DiNovi Pictures,85000000,123919503
Kasdan Pictures,25000000,121945720
The Mark Gordon Company,30000000,121248145
Bluegrass Films,155000000,119177804
Ixtlan,59000000,118852066
"Geffen Company, The",40000000,118525571
Follow Through Productions,30000000,116632095
Lorimar Film Entertainment,41500000,114807988
Iron Horse Entertainment (II),7000000,113721571
STX Entertainment,20000000,113257297
Bold Films,56000000,112970533
Gladden Entertainment,59000000,112548238
Bullwinkle Studios,145000000,111506430
Legendary Entertainment,180000000,111155135
Alcor Films,94500000,110892705
Gulfstream Pictures,82000000,110546151
Northern Lights Entertainment,145000000,110424980
Casual Friday Productions,26000000,110230332
Bel Air Entertainment,154000000,109989485
Forward Pass,180000000,109705952
Artisan Entertainment,119750000,109684961
Broadway Video,100000000,109136804
Solana Films,15000,107918810
Gordon Company,17000000,107679272
"Zanuck Company, The",7500000,106593296
Path� Entertainment,54500000,106063003
Lynda Obst Productions,50000000,105813373
Blumhouse Productions,22300000,104809330
Touchwood Pacific Partners 1,55000000,103315261
Dickhouse Productions,15000000,102003019
Donner/Shuler-Donner Productions,75000000,101631272
Kopelson Entertainment,100000000,101295562
Brooksfilms,80700000,100645832
Lava Bear Films,47000000,100546139
Cecchi Gori Pictures,33000000,100125643
Strike Entertainment,27800000,100055307
Juno Pix,19900000,99809349
Laika Entertainment,120000000,98860393
Black Bear Pictures,36500000,98764774
Cruise/Wagner Productions,42000000,97300110
Avnet/Kerner Productions,10000000,96362747
Apatow Productions,90000000,95255491
British Broadcasting Corporation (BBC),159000000,93923132
Closest to the Hole Productions,25000000,93617009
Plan B Entertainment,55000000,92040824
Digital Image Associates,45000000,92001027
Cort/Madden Productions,13000000,91057006
Clipsal Films,65000000,90464773
Warner Bros. Family Entertainment,80000000,90463534
Prana Studios,50000000,90288712
Dino De Laurentiis Company,152500000,90161370
Avery Pix,145000000,89228124
Happy Madison Productions,51000000,88981879
Little Stranger,30000000,87044645
Overture Films,70000000,86851398
Marcy Media,65000000,85911262
Oriental Light and Magic (OLM),30000000,85744662
Palace Pictures,14500000,85733659
Carousel Productions (II),50000000,84351197
Amen Ra Films,65000000,82486346
Genre Films,17000000,82390774
Gotham Group,61000000,81670090
Sandollar Productions,45000000,81287236
Allied Filmmakers,69000000,80842529
4 Kids Entertainment,66000000,80573502
Forge,100000000,80487163
It's a Laugh Productions,30000000,79566871
Golan-Globus Productions,58000000,78658734
Columbia Pictures Industries,42000000,78483707
Recorded Picture Company (RPC),173900000,76282754
Mirage Enterprises,51000000,75795669
Waverly Films,35000000,75764672
98 MPH Productions,20000000,75600072
Bron Studios,45500000,75148183
Rysher Entertainment,36100000,74790912
Angry Films,108000000,74256350
