name,company,budget,gross
Star Wars: The Force Awakens,Lucasfilm,245000000,936662225
Avatar,Twentieth Century Fox Film Corporation,237000000,760507625
Titanic,Twentieth Century Fox Film Corporation,200000000,658672302
Jurassic World,Universal Pictures,150000000,652270625
The Avengers,Marvel Studios,220000000,623357910
The Dark Knight,Warner Bros.,185000000,534858444
Rogue One,Lucasfilm,200000000,532177324
Finding Dory,Pixar Animation Studios,200000000,486295561
Star Wars: Episode I - The Phantom Menace,Lucasfilm,115000000,474544677
Avengers: Age of Ultron,Marvel Studios,250000000,459005868
The Dark Knight Rises,Warner Bros.,250000000,448139099
Shrek 2,DreamWorks,150000000,436471036
The Hunger Games: Catching Fire,Color Force,130000000,424668047
Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures,225000000,423315812
Toy Story 3,Walt Disney Pictures,200000000,415004880
Iron Man 3,Marvel Studios,200000000,409013994
Captain America: Civil War,Marvel Studios,250000000,408084349
The Hunger Games,Lionsgate,78000000,408010692
Spider-Man,Columbia Pictures Corporation,139000000,403706375
Jurassic Park,Universal Pictures,63000000,402453882
Transformers: Revenge of the Fallen,DreamWorks,200000000,402111870
Frozen,Walt Disney Animation Studios,150000000,400738009
Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,125000000,381011219
Finding Nemo,Pixar Animation Studios,94000000,380843261
Star Wars: Episode III - Revenge of the Sith,Lucasfilm,113000000,380262555
The Lord of the Rings: The Return of the King,New Line Cinema,94000000,377845905
Spider-Man 2,Columbia Pictures Corporation,200000000,373585825
The Passion of the Christ,Icon Productions,30000000,370782930
La vida secreta de tus mascotas,Universal Pictures,75000000,368384330
Despicable Me 2,Universal Pictures,76000000,368061265
The Jungle Book,Fairview Entertainment,175000000,364001123
Deadpool,Twentieth Century Fox Film Corporation,58000000,363070709
Inside Out,Pixar Animation Studios,175000000,356461711
Furious 7,Universal Pictures,190000000,353007020
Transformers: Dark of the Moon,Paramount Pictures,195000000,352390543
American Sniper,Warner Bros.,58800000,350126372
The Lord of the Rings: The Two Towers,New Line Cinema,94000000,342551365
Zootopia,Walt Disney Pictures,150000000,341268248
The Hunger Games: Mockingjay - Part 1,Color Force,125000000,337135885
Spider-Man 3,Columbia Pictures,258000000,336530303
Minions,Illumination Entertainment,74000000,336045770
Alice in Wonderland,Walt Disney Pictures,200000000,334191110
Guardians of the Galaxy,Marvel Studios,170000000,333176600
Batman v Superman: Dawn of Justice,Warner Bros.,250000000,330360194
Forrest Gump,Paramount Pictures,55000000,330252182
Suicide Squad,Atlas Entertainment,175000000,325100054
Shrek the Third,DreamWorks Animation,160000000,320706665
Transformers,DreamWorks,150000000,319071806
Iron Man,Paramount Pictures,140000000,318412101
Harry Potter and the Sorcerer's Stone,Warner Bros.,125000000,317575550
Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,185000000,317101119
The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,93000000,315544750
The Lion King,Walt Disney Pictures,45000000,312900000
Iron Man 2,Paramount Pictures,200000000,312433331
Star Wars: Episode II - Attack of the Clones,Lucasfilm,115000000,310675583
Pirates of the Caribbean: At World's End,Walt Disney Pictures,300000000,309420425
Independence Day,Twentieth Century Fox Film Corporation,75000000,306169255
Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Pictures,140000000,305413918
Skyfall,Eon Productions,200000000,304360277
The Hobbit: An Unexpected Journey,New Line Cinema,180000000,303003568
Harry Potter and the Half-Blood Prince,Warner Bros.,250000000,301959197
The Twilight Saga: Eclipse,Summit Entertainment,68000000,300531751
The Twilight Saga: New Moon,Temple Hill Entertainment,50000000,296623634
Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,0,295983305
The Sixth Sense,Hollywood Pictures,40000000,293506292
Up,Pixar Animation Studios,175000000,293004164
Inception,Warner Bros.,160000000,292576195
The Twilight Saga: Breaking Dawn - Part 2,Summit Entertainment,120000000,292298923
Harry Potter and the Order of the Phoenix,Warner Bros.,150000000,292004738
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Walt Disney Pictures,180000000,291709845
Man of Steel,Warner Bros.,225000000,291045518
Harry Potter and the Goblet of Fire,Warner Bros.,150000000,290013036
"Monsters, Inc.",Pixar Animation Studios,115000000,289916256
Home Alone,Hughes Entertainment,18000000,285761243
The Hunger Games: Mockingjay - Part 2,Color Force,160000000,281723902
The Matrix Reloaded,Warner Bros.,150000000,281492479
The Twilight Saga: Breaking Dawn - Part 1,Summit Entertainment,110000000,281287133
Meet the Fockers,Universal Pictures,80000000,279261160
The Hangover,Warner Bros.,35000000,277322503
Gravity,Warner Bros.,100000000,274092705
Sing,Dentsu,75000000,270329045
Monsters University,Walt Disney Pictures,200000000,268492764
Shrek,DreamWorks Animation,60000000,267665011
The Amazing Spider-Man,Columbia Pictures,230000000,262030663
Harry Potter and the Chamber of Secrets,1492 Pictures,100000000,261988482
The Incredibles,Pixar Animation Studios,92000000,261441092
How the Grinch Stole Christmas,Universal Pictures,123000000,260044825
Captain America: The Winter Soldier,Marvel Entertainment,170000000,259766572
The Hobbit: The Desolation of Smaug,Metro-Goldwyn-Mayer (MGM),225000000,258366855
The Lego Movie,Warner Bros.,60000000,257760692
Star Trek,Paramount Pictures,150000000,257730019
I Am Legend,Warner Bros.,150000000,256386216
The Blind Side,Alcon Entertainment,29000000,255959475
The Hobbit: The Battle of the Five Armies,New Line Cinema,250000000,255119788
The Hangover Part II,Warner Bros.,80000000,254464305
Despicable Me,Universal Pictures,69000000,251513985
Batman,Warner Bros.,35000000,251188924
Night at the Museum,Twentieth Century Fox Film Corporation,110000000,250863268
Men in Black,Columbia Pictures Corporation,90000000,250690539
Harry Potter and the Prisoner of Azkaban,Warner Bros.,130000000,249358727
Moana,Walt Disney Animation Studios,150000000,248757044
Toy Story 2,Pixar Animation Studios,90000000,245852179
Transformers: Age of Extinction,Paramount Pictures,210000000,245439076
Cars,Pixar Animation Studios,120000000,244082982
Bruce Almighty,Spyglass Entertainment,81000000,242829261
Twister,Warner Bros.,92000000,241721524
Casarse... est� en griego,Gold Circle Films,5000000,241438208
Maleficent,Roth Films,180000000,241410378
Pirates of the Caribbean: On Stranger Tides,Walt Disney Pictures,250000000,241071802
Fast & Furious 6,Universal Pictures,160000000,238679850
Shrek Forever After,DreamWorks Animation,165000000,238371987
Brave,Walt Disney Pictures,185000000,237283207
Oz the Great and Powerful,Walt Disney Pictures,215000000,234911825
X-Men III: La batalla final,Twentieth Century Fox Film Corporation,210000000,234362462
War of the Worlds,Paramount Pictures,132000000,234280354
Fantastic Beasts and Where to Find Them,Heyday Films,180000000,234037575
X-Men: Days of Future Past,Twentieth Century Fox Film Corporation,200000000,233921534
Cast Away,Twentieth Century Fox Film Corporation,90000000,233632142
Doctor Strange,Marvel Studios,165000000,232641920
The Lost World: Jurassic Park,Universal Pictures,73000000,229086679
Star Trek Into Darkness,Paramount Pictures,190000000,228778661
The Martian,Twentieth Century Fox Film Corporation,108000000,228433663
Signs,Touchstone Pictures,72000000,227966634
Hancock,Columbia Pictures,150000000,227946274
The Bourne Ultimatum,Universal Pictures,110000000,227471070
Rush Hour 2,New Line Cinema,90000000,226164286
