country,budget,gross
USA,139948420035,197934880427
UK,12356215000,14209816197
Germany,3666250000,3199462543
France,3113300000,3037066879
Canada,1893225000,2296115123
Australia,1128290000,1623710687
Japan,647200000,1165489704
China,1110400000,1005234480
New Zealand,706600000,933289753
Hong Kong,596428966,595212447
Spain,531300000,475294846
South Africa,225000000,340557884
Ireland,295800000,325532218
Italy,148500000,183123691
Taiwan,33400000,144272530
Mexico,58800000,128232613
Finland,73000000,108447152
India,89441228,103746060
Austria,38900000,69205267
Peru,45000000,57773461
Malta,50000000,52853219
Argentina,6800000,45784097
Sweden,22000000,39337096
Denmark,99800000,39130254
Russia,81000000,30908991
Chile,35000000,29429860
South Korea,111000000,27636858
Netherlands,52500000,27467369
Hungary,31000000,26445696
Romania,12500000,19379611
Switzerland,18000000,19086593
Thailand,0,16649185
Belgium,89000000,15844588
Iran,830000,14755916
Czech Republic,186000000,14299801
Brazil,10200000,13837783
Aruba,35000000,10076136
Jamaica,3000000,9630169
West Germany,0,9308567
Greece,0,8881453
Colombia,4400000,7846447
Israel,5500000,7079907
Indonesia,5600000,6730926
Portugal,25000000,6390962
Panama,20000000,4711736
Poland,0,3925878
Kenya,20000000,2716989
Norway,11800000,2100543
Cuba,0,2080805
Palestine,0,1452402
Saudi Arabia,0,1347578
Republic of Macedonia,1900000,763847
Federal Republic of Yugoslavia,0,348660
Soviet Union,0,169410
Ukraine,0,150564
Iceland,0,118483
Bahamas,0,48817
